threshold,coverage,selective_error,selective_macro_f1,abstain_accuracy,abstain_macro_f1
0.0,1.0000,0.2736,0.4750,0.7264,0.4750
0.02,1.0000,0.2736,0.4750,0.7264,0.4750
0.04,1.0000,0.2736,0.4750,0.7264,0.4750
0.06,1.0000,0.2736,0.4750,0.7264,0.4750
0.08,1.0000,0.2736,0.4750,0.7264,0.4750
0.1,1.0000,0.2736,0.4750,0.7264,0.4750
0.12,1.0000,0.2736,0.4750,0.7264,0.4750
0.14,1.0000,0.2736,0.4750,0.7264,0.4750
0.16,1.0000,0.2736,0.4750,0.7264,0.4750
0.18,1.0000,0.2736,0.4750,0.7264,0.4750
0.2,1.0000,0.2736,0.4750,0.7264,0.4750
0.22,1.0000,0.2737,0.4750,0.7263,0.4750
0.24,0.9997,0.2735,0.4752,0.7263,0.4750
0.26,0.9988,0.2731,0.4753,0.7263,0.4747
0.28,0.9968,0.2722,0.4759,0.7260,0.4741
0.3,0.9942,0.2707,0.4773,0.7258,0.4738
0.32,0.9904,0.2687,0.4786,0.7256,0.4726
0.34,0.9851,0.2665,0.4798,0.7243,0.4702
0.36,0.9771,0.2633,0.4823,0.7227,0.4679
0.38,0.9676,0.2596,0.4840,0.7200,0.4632
0.4,0.9542,0.2545,0.4878,0.7161,0.4588
0.42,0.9387,0.2495,0.4910,0.7107,0.4534
0.44,0.9208,0.2439,0.4942,0.7038,0.4466
0.46,0.8998,0.2376,0.4985,0.6947,0.4398
0.48,0.8730,0.2286,0.5050,0.6838,0.4327
0.5,0.8450,0.2200,0.5116,0.6715,0.4256
0.52,0.8175,0.2120,0.5171,0.6586,0.4182
0.54,0.7913,0.2039,0.5237,0.6462,0.4114
0.56,0.7647,0.1958,0.5295,0.6329,0.4033
0.58,0.7390,0.1885,0.5322,0.6196,0.3931
0.6,0.7143,0.1813,0.5354,0.6063,0.3841
0.62,0.6905,0.1746,0.5372,0.5929,0.3740
0.64,0.6677,0.1684,0.5427,0.5795,0.3669
0.66,0.6435,0.1626,0.5434,0.5648,0.3563
0.68,0.6195,0.1551,0.5486,0.5514,0.3489
0.7,0.5954,0.1489,0.5456,0.5364,0.3377
0.72,0.5711,0.1431,0.5407,0.5206,0.3264
0.74,0.5468,0.1361,0.5402,0.5055,0.3169
0.76,0.5232,0.1292,0.5391,0.4904,0.3077
0.78,0.4979,0.1230,0.5419,0.4735,0.2989
0.8,0.4725,0.1171,0.5335,0.4555,0.2878
0.82,0.4461,0.1110,0.5158,0.4369,0.2768
0.84,0.4190,0.1035,0.5154,0.4181,0.2681
0.86,0.3897,0.0967,0.5147,0.3962,0.2577
0.88,0.3567,0.0897,0.5109,0.3704,0.2429
0.9,0.3212,0.0797,0.5137,0.3436,0.2274
0.92,0.2824,0.0718,0.4952,0.3135,0.2084
0.94,0.2418,0.0616,0.4854,0.2827,0.1939
0.96,0.2027,0.0583,0.3136,0.2505,0.1792
0.98,0.1435,0.0493,0.3167,0.1962,0.1546
