threshold,coverage,selective_error,selective_macro_f1,abstain_accuracy,abstain_macro_f1
0.0,1.0000,0.2394,0.5105,0.7606,0.5105
0.02,1.0000,0.2394,0.5105,0.7606,0.5105
0.04,1.0000,0.2394,0.5105,0.7606,0.5105
0.06,1.0000,0.2394,0.5105,0.7606,0.5105
0.08,1.0000,0.2394,0.5105,0.7606,0.5105
0.1,1.0000,0.2394,0.5105,0.7606,0.5105
0.12,1.0000,0.2394,0.5105,0.7606,0.5105
0.14,1.0000,0.2394,0.5105,0.7606,0.5105
0.16,1.0000,0.2394,0.5105,0.7606,0.5105
0.18,1.0000,0.2394,0.5105,0.7606,0.5105
0.2,1.0000,0.2394,0.5105,0.7606,0.5105
0.22,1.0000,0.2394,0.5105,0.7606,0.5105
0.24,1.0000,0.2394,0.5105,0.7606,0.5105
0.26,0.9999,0.2393,0.5106,0.7606,0.5105
0.28,0.9992,0.2390,0.5108,0.7605,0.5104
0.3,0.9974,0.2382,0.5114,0.7602,0.5098
0.32,0.9951,0.2371,0.5125,0.7598,0.5094
0.34,0.9912,0.2355,0.5137,0.7588,0.5081
0.36,0.9846,0.2325,0.5160,0.7571,0.5060
0.38,0.9768,0.2293,0.5187,0.7551,0.5037
0.4,0.9671,0.2258,0.5220,0.7522,0.5015
0.42,0.9565,0.2216,0.5258,0.7490,0.4993
0.44,0.9446,0.2175,0.5289,0.7447,0.4953
0.46,0.9299,0.2126,0.5321,0.7388,0.4891
0.48,0.9113,0.2066,0.5348,0.7308,0.4806
0.5,0.8888,0.1990,0.5396,0.7210,0.4720
0.52,0.8671,0.1915,0.5446,0.7116,0.4644
0.54,0.8454,0.1848,0.5488,0.7006,0.4558
0.56,0.8246,0.1782,0.5533,0.6903,0.4486
0.58,0.8033,0.1718,0.5564,0.6789,0.4392
0.6,0.7818,0.1659,0.5617,0.6670,0.4324
0.62,0.7592,0.1594,0.5678,0.6542,0.4248
0.64,0.7376,0.1535,0.5730,0.6414,0.4169
0.66,0.7156,0.1481,0.5780,0.6274,0.4086
0.68,0.6944,0.1425,0.5836,0.6144,0.4014
0.7,0.6718,0.1370,0.5855,0.6001,0.3918
0.72,0.6482,0.1313,0.5838,0.5849,0.3806
0.74,0.6223,0.1247,0.5845,0.5680,0.3694
0.76,0.5958,0.1192,0.5842,0.5498,0.3602
0.78,0.5660,0.1132,0.5870,0.5286,0.3506
0.8,0.5349,0.1080,0.5889,0.5057,0.3401
0.82,0.5027,0.1043,0.5847,0.4806,0.3281
0.84,0.4673,0.0996,0.5835,0.4534,0.3169
0.86,0.4277,0.0948,0.5534,0.4223,0.3020
0.88,0.3848,0.0917,0.5545,0.3875,0.2877
0.9,0.3377,0.0870,0.5578,0.3491,0.2685
0.92,0.2838,0.0841,0.5564,0.3039,0.2372
0.94,0.2105,0.0613,0.5538,0.2482,0.1732
0.96,0.0903,0.0190,0.4216,0.1484,0.0888
0.98,0.0000,nan,nan,0.0601,0.0189
