threshold,coverage,selective_error,selective_macro_f1,abstain_accuracy,abstain_macro_f1
0.0,1.0000,0.3128,0.4070,0.6872,0.4070
0.02,1.0000,0.3128,0.4070,0.6872,0.4070
0.04,1.0000,0.3128,0.4070,0.6872,0.4070
0.06,1.0000,0.3128,0.4070,0.6872,0.4070
0.08,1.0000,0.3128,0.4070,0.6872,0.4070
0.1,1.0000,0.3128,0.4070,0.6872,0.4070
0.12,1.0000,0.3128,0.4070,0.6872,0.4070
0.14,1.0000,0.3128,0.4070,0.6872,0.4070
0.16,1.0000,0.3128,0.4070,0.6872,0.4070
0.18,1.0000,0.3128,0.4070,0.6872,0.4070
0.2,1.0000,0.3128,0.4070,0.6872,0.4070
0.22,1.0000,0.3128,0.4071,0.6872,0.4071
0.24,0.9997,0.3126,0.4072,0.6872,0.4071
0.26,0.9993,0.3125,0.4073,0.6871,0.4069
0.28,0.9974,0.3116,0.4077,0.6871,0.4067
0.3,0.9920,0.3093,0.4087,0.6864,0.4051
0.32,0.9834,0.3057,0.4109,0.6851,0.4034
0.34,0.9731,0.3017,0.4124,0.6831,0.4002
0.36,0.9595,0.2970,0.4149,0.6794,0.3958
0.38,0.9432,0.2910,0.4180,0.6753,0.3917
0.4,0.9237,0.2843,0.4225,0.6696,0.3881
0.42,0.9012,0.2761,0.4272,0.6631,0.3836
0.44,0.8752,0.2671,0.4327,0.6545,0.3780
0.46,0.8479,0.2586,0.4365,0.6435,0.3707
0.48,0.8187,0.2504,0.4369,0.6303,0.3609
0.5,0.7876,0.2418,0.4395,0.6157,0.3531
0.52,0.7559,0.2318,0.4423,0.6018,0.3461
0.54,0.7277,0.2229,0.4468,0.5887,0.3406
0.56,0.7001,0.2149,0.4500,0.5750,0.3347
0.58,0.6701,0.2067,0.4538,0.5600,0.3286
0.6,0.6412,0.1995,0.4563,0.5442,0.3214
0.62,0.6131,0.1930,0.4577,0.5280,0.3140
0.64,0.5846,0.1842,0.4649,0.5121,0.3085
0.66,0.5582,0.1761,0.4714,0.4980,0.3043
0.68,0.5336,0.1689,0.4762,0.4839,0.2989
0.7,0.5082,0.1607,0.4849,0.4688,0.2941
0.72,0.4808,0.1523,0.4862,0.4518,0.2862
0.74,0.4529,0.1445,0.4961,0.4336,0.2789
0.76,0.4237,0.1369,0.4995,0.4140,0.2698
0.78,0.3922,0.1303,0.5054,0.3914,0.2603
0.8,0.3622,0.1221,0.5151,0.3703,0.2492
0.82,0.3334,0.1136,0.5249,0.3490,0.2342
0.84,0.3006,0.1047,0.5248,0.3233,0.2116
0.86,0.2667,0.0975,0.4996,0.2961,0.1864
0.88,0.2349,0.0896,0.5021,0.2706,0.1647
0.9,0.2023,0.0781,0.5140,0.2442,0.1457
0.92,0.1667,0.0590,0.5429,0.2153,0.1265
0.94,0.1219,0.0403,0.5362,0.1757,0.1029
0.96,0.0642,0.0235,0.4851,0.1219,0.0669
0.98,0.0142,0.0113,0.5700,0.0739,0.0304
