system,frame_accuracy,frame_macro_f1,f1@10,f1@25,f1@50,edit_score,event_precision,event_recall,event_f1,event_recall_tiou10,event_recall_tiou50,onset_mae_s,offset_mae_s,duration_mae_s,detection_delay_s,false_alerts_per_hour
transformer_552,0.7378,0.4391,0.3093,0.2439,0.1687,30.9397,0.5602,0.2917,0.3833,0.3125,0.2917,9.9289,1.3311,11.2599,2.2585,9.3506
transformer_556,0.7825,0.5442,0.3065,0.2647,0.2108,38.1634,0.6222,0.2083,0.3117,0.2500,0.2083,1.2201,8.8463,9.6228,0.0000,5.1003
transformer_563expr,0.7723,0.5347,0.3239,0.2858,0.2358,41.0584,0.5556,0.2292,0.3241,0.2708,0.2292,4.8252,0.4754,5.3006,0.0000,7.6505
transformer_563dyn,0.7666,0.5385,0.3375,0.2996,0.2241,40.0366,0.5185,0.2083,0.2835,0.3125,0.2083,1.2479,0.1585,1.4064,0.0000,9.3506
transformer_570,0.7401,0.5108,0.2685,0.2368,0.1834,28.7509,0.4500,0.1667,0.2417,0.2083,0.1667,1.9967,0.0000,1.9967,0.0000,9.3506
mstcn_556,0.7882,0.5367,0.3213,0.2914,0.1497,48.4676,0.5537,0.2708,0.3527,0.3333,0.2500,5.0347,3.9461,8.9808,2.0921,11.0507
mstcn_570,0.7710,0.5019,0.3966,0.3624,0.2266,59.9428,0.4535,0.3125,0.3681,0.3333,0.2917,10.9301,6.8613,17.4364,4.7072,15.3010
asrf_556,0.7745,0.5266,0.3358,0.2768,0.1688,36.3893,0.4963,0.2292,0.3086,0.2917,0.2083,1.1472,1.6321,2.5258,0.1268,10.2007
asrf_570,0.7851,0.5214,0.3395,0.2913,0.1747,53.4294,0.5060,0.2292,0.3152,0.2917,0.2292,2.1869,5.4991,7.3534,1.1887,9.3506
teacher,0.8740,0.7962,0.7200,0.7000,0.6700,76.4505,0.5882,0.6250,0.6061,0.6250,0.6250,2.6954,5.3909,8.0863,2.2961,17.8512
majority,0.3408,0.0847,0.0899,0.0674,0.0225,34.8532,0.0000,0.0000,0.0000,0.0000,0.0000,nan,nan,nan,nan,0.0000
