true,pred,count,share_of_all_errors
screen_oriented,looking_away,8807,0.16495598426671662
looking_away,screen_oriented,8252,0.15456077917212963
screen_oriented,turned_to_peer,4993,0.09351938565274395
phone_use,screen_oriented,4019,0.07527626896422551
screen_oriented,uncertain,3783,0.07085596553661734
screen_oriented,phone_use,3776,0.07072485484173066
head_down,screen_oriented,3360,0.0629331335456078
screen_oriented,head_down,3271,0.06126615471061997
turned_to_peer,screen_oriented,3212,0.06016107885371792
uncertain,screen_oriented,2227,0.04171193107323469
uncertain,head_down,1726,0.032328151339202096
head_down,uncertain,1589,0.029762127739277017
looking_away,turned_to_peer,647,0.012118374227383405
turned_to_peer,looking_away,559,0.010470125491665106
head_down,looking_away,510,0.009552350627458326
uncertain,turned_to_peer,389,0.007286008615845664
phone_use,looking_away,336,0.006293313354560779
looking_away,phone_use,322,0.006031091964787414
uncertain,looking_away,277,0.005188237497658737
looking_away,head_down,257,0.004813635512268215
looking_away,uncertain,244,0.004570144221764375
turned_to_peer,uncertain,195,0.003652369357557595
phone_use,turned_to_peer,131,0.0024536430043079227
uncertain,phone_use,99,0.0018542798276830867
head_down,phone_use,96,0.0017980895298745083
phone_use,head_down,90,0.0016857089342573516
turned_to_peer,phone_use,82,0.0015358681401011426
phone_use,uncertain,63,0.0011799962539801462
head_down,turned_to_peer,47,0.0008803146656677281
turned_to_peer,head_down,31,0.00058063307735531
