fold,seed,n,agreement_rate,both_correct,both_wrong,arm5_right_arm2_wrong,arm2_right_arm5_wrong,net_arm5_minus_arm2
0,42,43158,0.8986051253533528,31855,7651,1842,1810,0.0007414616061912044
0,43,43158,0.7989480513462163,29179,6669,1927,5383,-0.08007785346865008
0,44,43158,0.8031419435562352,29750,6204,5143,2061,0.07141202094629037
1,42,46451,0.845643796688984,30145,10490,1907,3909,-0.04309917978084433
1,43,46451,0.7920819788594433,28943,9730,5650,2128,0.07582183376030656
1,44,46451,0.806032162924372,28171,11169,3438,3673,-0.00505909452971949
2,42,42765,0.7682918274289723,25571,9119,2347,5728,-0.07905997895475272
2,43,42765,0.8611481351572547,29930,8043,2570,2222,0.008137495615573483
2,44,42765,0.849503098328072,29087,8387,3446,1845,0.03743715655325617
3,42,43316,0.9106796564779758,31560,8562,1587,1607,-0.00046172315079878105
3,43,43316,0.8616908301782251,31556,6765,2743,2252,0.011335303352110075
3,44,43316,0.8335257179794995,29308,8089,2639,3280,-0.014798226983100933
4,42,44453,0.7002002114592941,26117,6829,2871,8636,-0.12968753514948372
4,43,44453,0.7829167885182102,28316,8536,4896,2705,0.049288012057678895
4,44,44453,0.7766854880435516,26814,9761,2992,4886,-0.04260679819134817
