arm,fold,seed_a,seed_b,n,agreement_rate
arm2,0,42,43,43158,0.9023124333843088
arm2,0,42,44,43158,0.8623198480003708
arm2,0,43,44,43158,0.8327077251031095
arm2,1,42,43,46451,0.78478396589955
arm2,1,42,44,46451,0.8313706916966266
arm2,1,43,44,46451,0.7640093862349573
arm2,2,42,43,42765,0.8455512685607389
arm2,2,42,44,42765,0.8552554659183912
arm2,2,43,44,42765,0.8254179819946218
arm2,3,42,43,43316,0.8828839227998891
arm2,3,42,44,43316,0.8919798688706252
arm2,3,43,44,43316,0.8698633299473636
arm2,4,42,43,44453,0.7842890243628101
arm2,4,42,44,44453,0.7898679504195443
arm2,4,43,44,44453,0.8241288551953749
arm5,0,42,43,43158,0.8014504842671115
arm5,0,42,44,43158,0.8907039251123777
arm5,0,43,44,43158,0.777283470040317
arm5,1,42,43,46451,0.8363006178553745
arm5,1,42,44,46451,0.8085940022819745
arm5,1,43,44,46451,0.8232761404490754
arm5,2,42,43,42765,0.7792119724073424
arm5,2,42,44,42765,0.7647609026072723
arm5,2,43,44,42765,0.8921314158774699
arm5,3,42,43,43316,0.8521331609566903
arm5,3,42,44,43316,0.8705790008311016
arm5,3,43,44,43316,0.8288623141564319
arm5,4,42,43,44453,0.7472161608890289
arm5,4,42,44,44453,0.7995860796796617
arm5,4,43,44,44453,0.7844464940498954
